MOVIE NAME ,MOVIE ID ,NUMBER OF RATINGS,
Sleepless in Seattle (1993),88,213,
Field of Dreams (1989),215,212,
Starship Troopers (1997),271,211,
Get Shorty (1995),4,209,
Godfather: Part II. The (1974),187,209,
Rear Window (1954),603,209,
Brazil (1985),175,208,
True Lies (1994),385,208,
Shining. The (1980),200,206,
M*A*S*H (1970),211,206,
Eraser (1996),597,206,
Beauty and the Beast (1991),588,202,
Batman (1989),403,201,
Boot. Das (1981),515,201,
Young Frankenstein (1974),208,200,
Star Trek IV: The Voyage Home (1986),230,199,
Citizen Kane (1941),134,198,
Good Will Hunting (1997),272,198,
Fifth Element. The (1997),250,197,
Gandhi (1982),527,195,
Face/Off (1997),298,194,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),474,194,
Tin Cup (1996),284,193,
Mrs. Doubtfire (1993),393,192,
This Is Spinal Tap (1984),209,191,
Sabrina (1995),274,190,
Boogie Nights (1997),340,189,
Devil's Advocate. The (1997),307,188,
Lone Star (1996),124,187,
Long Kiss Goodnight. The (1996),147,185,
Mighty Aphrodite (1995),13,184,
Postino. Il (1994),14,183,
Taxi Driver (1976),23,182,
Unforgiven (1992),203,182,
Annie Hall (1977),514,180,
Dave (1993),732,180,
Tomorrow Never Dies (1997),751,180,
Vertigo (1958),479,179,
North by Northwest (1959),480,179,
Clear and Present Danger (1994),566,179,
Mary Poppins (1964),419,178,
Primal Fear (1996),591,178,
Emma (1996),283,177,
Much Ado About Nothing (1993),83,176,
That Thing You Do! (1996),845,176,
Quiz Show (1994),58,175,
G.I. Jane (1997),326,175,
Cop Land (1997),327,175,
Rumble in the Bronx (1995),24,174,
Monty Python's Life of Brian (1979),154,174,
Fantasia (1940),432,174,
Lawrence of Arabia (1962),511,173,
Snow White and the Seven Dwarfs (1937),99,172,
My Best Friend's Wedding (1997),255,172,
Gone with the Wind (1939),133,171,
Big Night (1996),137,171,
Cape Fear (1991),218,171,
Star Trek III: The Search for Spock (1984),229,171,
Heathers (1989),433,171,
Glory (1989),651,171,
Full Metal Jacket (1987),188,170,
Clueless (1995),367,170,
Ghost (1990),402,170,
Grease (1978),451,170,
Mother (1996),321,169,
Sleepers (1996),628,169,
In the Line of Fire (1993),684,169,
Everyone Says I Love You (1996),319,168,
Piano. The (1993),582,168,
Die Hard 2 (1990),226,166,
Bridge on the River Kwai. The (1957),199,165,
Cool Hand Luke (1967),523,164,
American President. The (1995),692,164,
Pretty Woman (1990),739,164,
Nutty Professor. The (1996),411,163,
While You Were Sleeping (1995),66,162,
George of the Jungle (1997),259,162,
Secrets & Lies (1996),285,162,
Kingpin (1996),410,162,
Birds. The (1963),443,162,
Star Trek VI: The Undiscovered Country (1991),227,161,
Grosse Pointe Blank (1997),248,160,
Apt Pupil (1998),315,160,
First Wives Club. The (1996),476,160,
Lost World: Jurassic Park. The (1997),252,158,
Dragonheart (1996),472,158,
Swingers (1996),150,157,
Right Stuff. The (1983),193,157,
Executive Decision (1996),685,157,
Beavis and Butt-head Do America (1996),240,156,
Seven Years in Tibet (1997),690,155,
Crimson Tide (1995),31,154,
Highlander (1986),431,153,
Fried Green Tomatoes (1991),660,153,
African Queen. The (1951),498,152,
Firm. The (1993),77,151,
Abyss. The (1989),164,151,
Die Hard: With a Vengeance (1995),550,151,
Remains of the Day. The (1993),86,150,
Sneakers (1992),239,150,
Professional. The (1994),55,149,
Fly Away Home (1996),304,149,
Happy Gilmore (1996),763,149,
Clerks (1994),42,148,
Reservoir Dogs (1992),156,148,
Like Water For Chocolate (Como agua para chocolate) (1992),462,148,
Grumpier Old Men (1995),1028,148,
Donnie Brasco (1997),293,147,
Chinatown (1974),654,147,
River Wild. The (1994),281,146,
Rainmaker. The (1997),310,145,
Jackie Chan's First Strike (1996),455,145,
Nightmare Before Christmas. The (1993),91,143,
Kiss the Girls (1997),332,143,
Spawn (1997),358,143,
Batman Returns (1992),231,142,
Searching for Bobby Fischer (1993),87,138,
Maltese Falcon. The (1941),484,138,
Home Alone (1990),94,137,
Good. The Bad and The Ugly. The (1966),177,137,
Wag the Dog (1997),347,137,
Interview with the Vampire (1994),559,137,
Singin' in the Rain (1952),705,137,
Philadelphia (1993),735,137,
Con Air (1997),1016,137,
Patton (1970),205,136,
Sling Blade (1996),223,136,
Gattaca (1997),270,136,
Peacemaker. The (1997),879,136,
Crow. The (1994),68,134,
Room with a View. A (1986),213,134,
Ulee's Gold (1997),303,134,
Multiplicity (1996),1047,134,
Ed Wood (1994),47,133,
Jungle2Jungle (1997),243,132,
GoldenEye (1995),2,131,
Manchurian Candidate. The (1962),657,131,
Mystery Science Theater 3000: The Movie (1996),109,130,
Austin Powers: International Man of Mystery (1997),249,130,
Mask. The (1994),72,129,
Bound (1996),129,129,
Cinderella (1950),418,129,
Shine (1996),531,129,
Natural Born Killers (1994),53,128,
Maverick (1994),73,128,
Ghost and the Darkness. The (1996),148,128,
Last of the Mohicans. The (1992),241,128,
Crash (1996),325,128,
Some Like It Hot (1959),482,128,
Father of the Bride Part II (1995),756,128,
Stargate (1994),62,127,
Platoon (1986),157,127,
Nikita (La Femme Nikita) (1990),198,127,
Event Horizon (1997),260,127,
Absolute Power (1997),291,127,
Hunchback of Notre Dame. The (1996),596,127,
Jackie Brown (1997),346,126,
James and the Giant Peach (1996),473,126,
Cold Comfort Farm (1995),116,125,
12 Angry Men (1957),178,125,
Lost Highway (1997),324,125,
My Fair Lady (1964),485,125,
Henry V (1989),190,124,
Under Siege (1992),233,124,
Chasing Amy (1997),246,124,
Alien: Resurrection (1997),343,124,
Great Escape. The (1963),520,124,
Ben-Hur (1959),526,124,
Amistad (1997),750,124,
Dumbo (1941),501,123,
Bonnie and Clyde (1967),504,122,
Cinema Paradiso (1988),170,121,
Harold and Maude (1971),428,121,
Carrie (1976),447,121,
My Left Foot (1989),509,121,
Magnificent Seven. The (1954),510,121,
Killing Fields. The (1984),528,121,
Net. The (1995),38,120,
Bram Stoker's Dracula (1992),217,120,
Deer Hunter. The (1978),521,120,
Crying Game. The (1992),631,119,
Real Genius (1985),746,119,
Michael (1996),866,119,
Wrong Trousers. The (1993),169,118,
Hoop Dreams (1994),48,117,
Kolya (1996),242,117,
Star Trek: The Motion Picture (1979),449,117,
Army of Darkness (1993),184,116,
Raging Bull (1980),192,116,
Star Trek: Generations (1994),380,116,
Being There (1979),663,116,
What's Eating Gilbert Grape (1993),65,115,
Frighteners. The (1996),123,115,
Arsenic and Old Lace (1944),659,115,
Beautiful Girls (1996),762,115,
Batman Forever (1995),29,114,
Pink Floyd - The Wall (1982),214,114,
Rosewood (1997),292,114,
Edge. The (1997),331,113,
Welcome to the Dollhouse (1995),93,112,
As Good As It Gets (1997),316,112,
Close Shave. A (1995),408,112,
One Fine Day (1996),815,112,
Nightmare on Elm Street. A (1984),219,111,
Adventures of Priscilla. Queen of the Desert. The (1994),382,111,
Hudsucker Proxy. The (1994),81,110,
101 Dalmatians (1996),225,109,
Tombstone (1993),470,108,
Conan the Barbarian (1981),679,107,
Cable Guy. The (1996),122,106,
On Golden Pond (1981),162,106,
William Shakespeare's Romeo and Juliet (1996),421,106,
Scream 2 (1997),895,106,
Mr. Smith Goes to Washington (1939),136,105,
Outbreak (1995),54,104,
True Romance (1993),92,104,
Philadelphia Story. The (1940),478,104,
Strictly Ballroom (1992),709,104,
Craft. The (1996),928,104,
Ace Ventura: Pet Detective (1994),67,103,
In the Name of the Father (1993),317,102,
Waterworld (1995),554,102,
Little Women (1994),699,102,
Benny & Joon (1993),747,102,
Basic Instinct (1992),159,101,
Young Guns (1988),232,101,
Mimic (1997),264,101,
Miracle on 34th Street (1994),378,101,
Pinocchio (1940),404,101,
Sex. Lies. and Videotape (1989),708,101,
Down Periscope (1996),926,101,
Muriel's Wedding (1994),381,100,
Alien 3 (1992),665,100,
I Know What You Did Last Summer (1997),682,100,
Private Parts (1997),1012,100,
American Werewolf in London. An (1981),436,99,
Dirty Dancing (1987),155,98,
Streetcar Named Desire. A (1951),507,98,
Romy and Michele's High School Reunion (1997),1014,98,
Desperado (1995),33,97,
Spitfire Grill. The (1996),126,97,
Client. The (1994),356,97,
Day the Earth Stood Still. The (1951),429,97,
Fierce Creatures (1997),290,96,
Mrs. Brown (Her Majesty. Mrs. Brown) (1997),306,96,
Jumanji (1995),755,96,
City of Lost Children. The (1995),919,96,
So I Married an Axe Murderer (1993),90,95,
Breakfast at Tiffany's (1961),131,95,
Matilda (1996),477,95,
Very Brady Sequel. A (1996),412,93,
Duck Soup (1933),430,93,
My Life as a Dog (Mitt liv som hund) (1985),529,93,
Cliffhanger (1993),576,93,
Space Jam (1996),820,93,
2 Days in the Valley (1996),1011,93,
From Dusk Till Dawn (1996),17,92,
Return of the Pink Panther. The (1974),163,92,
Unbearable Lightness of Being. The (1988),212,92,
Rob Roy (1995),549,92,
Demolition Man (1993),578,92,
Michael Collins (1996),744,92,
Madness of King George. The (1994),52,91,
Bean (1997),338,91,
Manhattan (1979),517,91,
Escape from New York (1981),636,91,
Casino (1995),693,91,
Escape from L.A. (1996),831,91,
Four Rooms (1995),3,90,
Nixon (1995),458,90,
Rebel Without a Cause (1955),506,90,
Rosencrantz and Guildenstern Are Dead (1990),652,90,
Hamlet (1996),1039,90,
Richard III (1995),10,89,
Evil Dead II (1987),201,89,
Three Musketeers. The (1993),399,89,
Miller's Crossing (1990),518,89,
Grifters. The (1990),642,89,
High Noon (1952),661,88,
Strange Days (1995),39,87,
Ice Storm. The (1997),305,87,
Addams Family Values (1993),386,87,
Jackal. The (1997),689,87,
To Die For (1995),715,87,
Copycat (1995),5,86,
Cape Fear (1962),673,86,
First Knight (1995),720,86,
Bullets Over Broadway (1994),792,86,
My Fellow Americans (1996),864,86,
Beautician and the Beast. The (1997),988,86,
Up Close and Personal (1996),280,85,
Bob Roberts (1992),425,85,
Omen. The (1976),448,85,
Jungle Book. The (1994),465,85,
White Squall (1996),924,85,
Muppet Treasure Island (1996),21,84,
French Kiss (1995),781,84,
Three Colors: Red (1994),59,83,
Arrival. The (1996),825,83,
Santa Clause. The (1994),63,82,
Sleeper (1973),152,82,
Sword in the Stone. The (1963),625,82,
Cook the Thief His Wife & Her Lover. The (1989),640,82,
Somewhere in Time (1980),662,82,
Juror. The (1996),717,82,
Mulholland Falls (1996),823,82,
Crumb (1994),32,81,
I.Q. (1994),49,81,
Legends of the Fall (1994),51,81,
Alice in Wonderland (1951),420,81,
It Happened One Night (1934),604,81,
Nell (1994),729,81,
Picture Perfect (1997),873,81,
Eat Drink Man Woman (1994),45,80,
Midnight in the Garden of Good and Evil (1997),312,80,
Treasure of the Sierra Madre. The (1948),519,80,
Man Who Would Be King. The (1975),530,80,
Phantom. The (1996),826,80,
Chain Reaction (1996),930,80,
Dolores Claiborne (1994),44,79,
Secret Garden. The (1993),584,79,
Pump Up the Volume (1990),658,79,
City Hall (1996),696,79,
Better Off Dead... (1985),710,79,
Marvin's Room (1996),287,78,
Shadowlands (1993),736,78,
Breakdown (1997),295,77,
Victor/Victoria (1982),629,77,
Crucible. The (1996),676,77,
Reality Bites (1994),1074,77,
Brady Bunch Movie. The (1995),401,76,
Circle of Friends (1995),724,76,
Don Juan DeMarco (1995),778,76,
Wings of the Dove. The (1997),311,75,
Robin Hood: Prince of Thieves (1991),627,75,
Vegas Vacation (1997),871,75,
Winnie the Pooh and the Blustery Day (1968),969,75,
Sgt. Bilko (1996),105,74,
Breaking the Waves (1996),221,74,
Smoke (1995),461,74,
Six Degrees of Separation (1993),1101,74,
Brothers McMullen. The (1995),26,73,
Heavy Metal (1981),101,73,
Hoodlum (1997),299,73,
Parent Trap. The (1961),417,73,
Big Sleep. The (1946),525,73,
She's the One (1996),1048,73,
Angels and Insects (1995),20,72,
20.000 Leagues Under the Sea (1954),141,72,
Wedding Singer. The (1998),354,72,
Third Man. The (1949),513,72,
Seventh Seal. The (Sjunde inseglet. Det) (1957),650,72,
Othello (1995),713,72,
Diabolique (1996),106,71,
Restoration (1995),277,71,
Secret of Roan Inish. The (1994),463,71,
Things to Do in Denver when You're Dead (1995),544,71,
How to Make an American Quilt (1995),949,71,
Jack (1996),409,70,
Heavenly Creatures (1994),558,70,
Ran (1985),647,70,
Enchanted April (1991),707,70,
Antonia's Line (1995),19,69,
Glengarry Glen Ross (1992),160,69,
Naked Gun 33 1/3: The Final Insult (1994),384,69,
Christmas Carol. A (1938),633,69,
McHale's Navy (1997),687,69,
Dumb & Dumber (1994),780,69,
Hot Shots! Part Deux (1993),80,68,
Man Without a Face. The (1993),392,68,
Roman Holiday (1953),487,68,
Bringing Up Baby (1938),497,68,
Dial M for Murder (1954),505,68,
Preacher's Wife. The (1996),934,68,
Cool Runnings (1993),1035,68,
Wallace & Gromit: The Best of Aardman Animation (1996),114,67,
Striptease (1996),120,67,
Private Benjamin (1980),167,67,
Bridges of Madison County. The (1995),371,67,
Forbidden Planet (1956),434,67,
Short Cuts (1993),469,67,
Adventures of Robin Hood. The (1938),491,67,
Wolf (1994),569,67,
Quiet Man. The (1952),648,67,
Grand Day Out. A (1992),189,66,
Cyrano de Bergerac (1990),207,66,
Mirror Has Two Faces. The (1996),220,66,
In the Company of Men (1997),262,66,
Jaws 2 (1978),452,66,
Anastasia (1997),538,66,
All About Eve (1950),606,66,
Rebecca (1940),607,66,
Tommy Boy (1995),790,66,
Diva (1981),855,66,
Hercules (1997),993,66,
Shallow Grave (1994),1073,66,
Kids in the Hall: Brain Candy (1996),108,65,
Supercop (1992),128,65,
Lawnmower Man. The (1992),145,65,
Delicatessen (1991),171,65,
Deconstructing Harry (1997),345,65,
Age of Innocence. The (1993),387,65,
Sunset Blvd. (1950),488,65,
Candyman (1992),672,65,
Three Colors: Blue (1993),60,64,
Jean de Florette (1986),165,64,
U Turn (1997),334,64,
Old Yeller (1957),416,64,
Rudy (1993),468,64,
Sabrina (1954),486,64,
Fan. The (1996),595,64,
Night of the Living Dead (1968),616,64,
Extreme Measures (1996),619,64,
Eve's Bayou (1997),887,64,
Dazed and Confused (1993),959,64,
Stealing Beauty (1996),1009,64,
Star Trek V: The Final Frontier (1989),450,63,
Apartment. The (1960),481,63,
Local Hero (1983),516,63,
Walk in the Clouds. A (1995),553,63,
Immortal Beloved (1994),727,63,
Jane Eyre (1996),740,63,
Batman & Robin (1997),254,62,
My Favorite Year (1982),414,62,
Cat on a Hot Tin Roof (1958),499,62,
Forget Paris (1995),1041,62,
Homeward Bound: The Incredible Journey (1993),140,61,
Fox and the Hound. The (1981),946,61,
Weekend at Bernie's (1989),158,60,
Bed of Roses (1996),278,60,
Thin Man. The (1934),493,60,
Father of the Bride (1950),609,60,
Murder in the First (1995),939,60,
Three Colors: White (1994),61,59,
Last Action Hero (1993),391,59,
East of Eden (1955),492,59,
Around the World in 80 Days (1956),495,59,
Mary Shelley's Frankenstein (1994),561,59,
Kalifornia (1993),581,59,
39 Steps. The (1935),615,59,
Sirens (1994),737,59,
Soul Food (1997),880,59,
Some Kind of Wonderful (1987),1119,59,
Ref. The (1994),85,58,
Manon of the Spring (Manon des sources) (1986),166,58,
Sophie's Choice (1982),632,58,
Home for the Holidays (1995),716,58,
Nine Months (1995),722,58,
Last Supper. The (1995),741,58,
Postman. The (1997),898,58,
Raise the Red Lantern (1991),923,58,
Bad Boys (1995),27,57,
To Wong Foo. Thanks for Everything! Julie Newmar (1995),40,57,
Bedknobs and Broomsticks (1971),142,57,
Bananas (1971),502,57,
Wings of Desire (1987),512,57,
Red Corner (1997),754,57,
Devil in a Blue Dress (1995),770,57,
Daylight (1996),827,57,
Island of Dr. Moreau. The (1996),931,57,
Robin Hood: Men in Tights (1993),395,56,
His Girl Friday (1940),494,56,
Celluloid Closet. The (1995),813,56,
Apostle. The (1997),344,55,
Black Sheep (1996),369,55,
Tales from the Crypt Presents: Bordello of Blood (1996),413,55,
Looking for Richard (1996),847,55,
Carlito's Way (1993),76,54,
Aristocats. The (1970),102,54,
Serial Mom (1994),396,54,
Addicted to Love (1997),535,54,
Nosferatu (Nosferatu. eine Symphonie des Grauens) (1922),675,54,
Mallrats (1995),721,54,
Amityville Horror. The (1979),441,53,
Barcelona (1994),702,53,
Last Man Standing (1996),840,53,
Days of Thunder (1990),849,53,
She's So Lovely (1997),875,53,
Life Less Ordinary. A (1997),886,53,
Flubber (1997),892,53,
Koyaanisqatsi (1983),1065,53,
Man Who Knew Too Little. The (1997),342,52,
Red Rock West (1992),466,52,
Notorious (1946),489,52,
Casper (1995),768,52,
Excess Baggage (1997),877,52,
Pocahontas (1995),542,51,
Giant (1956),614,51,
Tin Men (1987),712,51,
MatchMaker. The (1997),749,51,
Love Bug. The (1969),139,50,
Akira (1988),206,50,
Ulee's Gold (1997),297,50,
To Catch a Thief (1955),490,50,
Wyatt Earp (1994),570,50,
American in Paris. An (1951),602,50,
Once Upon a Time in America (1984),649,50,
Perfect World. A (1993),686,50,
Menace II Society (1993),806,50,
Trees Lounge (1996),1017,50,
Thinner (1996),406,49,
Mortal Kombat (1995),541,49,
Rocket Man (1997),683,49,
Kids (1995),772,49,
Great White Hype. The (1996),824,49,
Bulletproof (1996),833,49,
Before Sunrise (1995),955,49,
Substitute. The (1996),977,49,
Smilla's Sense of Snow (1997),244,48,
Powder (1995),365,48,
Beverly Hills Ninja (1997),456,48,
Bronx Tale. A (1993),467,48,
Quick and the Dead. The (1995),562,48,
Cat People (1982),674,48,
Glimmer Man. The (1996),841,48,
Booty Call (1997),948,48,
Under Siege 2: Dark Territory (1995),1228,48,
Mad City (1997),339,47,
Sudden Death (1995),363,47,
Dangerous Minds (1995),366,47,
Swimming with Sharks (1995),789,47,
Money Talks (1997),876,47,
Waiting for Guffman (1996),1007,47,
Up in Smoke (1978),1118,47,
Shall We Dance? (1996),251,46,
Blob. The (1958),444,46,
Great Dictator. The (1940),524,46,
Paris. Texas (1984),664,46,
Bride of Frankenstein (1935),671,46,
Screamers (1995),760,46,
It Could Happen to You (1994),794,46,
Farewell My Concubine (1993),921,46,
With Honors (1994),941,46,
Nobody's Fool (1994),956,46,
Malice (1993),1046,46,
Doors. The (1991),1135,46,
Citizen Ruth (1996),236,45,
Desperate Measures (1998),329,45,
Species (1995),552,45,
Junior (1994),728,45,
Shadow. The (1994),810,45,
Money Talks (1997),881,45,
What's Love Got to Do with It (1993),942,45,
Blue in the Face (1995),952,45,
Joe's Apartment (1996),1079,45,
Family Thing. A (1996),1197,45,
Ridicule (1996),224,44,
Mouse Hunt (1997),539,44,
City Slickers II: The Legend of Curly's Gold (1994),575,44,
Return of Martin Guerre. The (Retour de Martin Guerre. Le) (1982),638,44,
M (1931),656,44,
Leave It to Beaver (1997),688,44,
Persuasion (1995),694,44,
Nick of Time (1995),761,44,
To Gillian on Her 37th Birthday (1996),846,44,
Sweet Hereafter. The (1997),896,44,
Fear (1996),975,44,
Shadow Conspiracy (1997),984,44,
Basquiat (1996),1010,44,
Fire Down Below (1997),1025,44,
Bottle Rocket (1996),1067,44,
When We Were Kings (1996),1142,44,
Young Guns II (1990),1188,44,
Air Bud (1997),261,43,
Playing God (1997),336,43,
Tales From the Crypt Presents: Demon Knight (1995),379,43,
Spy Hard (1996),407,43,
Money Train (1995),540,43,
Wild Bunch. The (1969),589,43,
Chamber. The (1996),620,43,
Rising Sun (1993),809,43,
Mortal Kombat: Annihilation (1997),890,43,
Renaissance Man (1994),944,43,
Ghost and Mrs. Muir. The (1947),1050,43,
Pete's Dragon (1977),1091,43,
Moll Flanders (1996),107,42,
Congo (1995),769,42,
Freeway (1996),844,42,
Love Jones (1997),872,42,
Kundun (1997),900,42,
Big Lebowski. The (1998),902,42,
Flirting With Disaster (1996),1098,42,
187 (1997),330,41,
Fallen (1998),350,41,
Sphere (1998),355,41,
Young Poisoner's Handbook. The (1995),547,41,
Coneheads (1993),577,41,
Gigi (1958),610,41,
Johnny Mnemonic (1995),771,41,
Some Folks Call It a Sling Blade (1993),963,41,
Associate. The (1996),1051,41,
Little Princess. A (1995),1063,41,
Tank Girl (1995),1110,41,
Disclosure (1994),43,40,
Priest (1994),57,40,
Laura (1944),611,40,
Tin Drum. The (Blechtrommel. Die) (1979),639,40,
Basketball Diaries. The (1995),697,40,
Hard Target (1993),802,40,
Eddie (1996),819,40,
Harriet the Spy (1996),929,40,
First Kid (1996),932,40,
Killing Zoe (1994),943,40,
Charade (1963),945,40,
Paper. The (1994),1044,40,
French Twist (Gazon maudit) (1995),16,39,
Mary Reilly (1996),370,39,
Judge Dredd (1995),373,39,
Candidate. The (1972),503,39,
Son in Law (1993),585,39,
Swiss Family Robinson (1960),622,39,
Angels in the Outfield (1994),623,39,
Corrina. Corrina (1994),731,39,
Crow: City of Angels. The (1996),743,39,
Replacement Killers. The (1998),752,39,
Only You (1994),785,39,
Career Girls (1997),874,39,
Indian in the Cupboard. The (1995),951,39,
Adventures of Pinocchio. The (1996),1060,39,
Assassins (1995),1217,39,
When a Man Loves a Woman (1994),1221,39,
Howling. The (1981),637,38,
Once Upon a Time in the West (1969),646,38,
Anaconda (1997),1013,38,
8 1/2 (1963),1021,38,
Speed 2: Cruise Control (1997),1089,38,
Get on the Bus (1996),1134,38,
Virtuosity (1995),1210,38,
Belle de jour (1967),30,37,
Billy Madison (1995),41,37,
Ace Ventura: When Nature Calls (1995),364,37,
Romeo Is Bleeding (1993),583,37,
Milk Money (1994),783,37,
Thousand Acres. A (1997),937,37,
I Shot Andy Warhol (1996),1008,37,
Sliver (1993),1090,37,
Body Snatchers (1993),670,36,
Speechless (1994),796,36,
Night on Earth (1991),856,36,
Metro (1997),1244,36,
Kull the Conqueror (1997),266,35,
Down by Law (1986),522,35,
Wes Craven's New Nightmare (1994),567,35,
Thin Blue Line. The (1988),644,35,
Trigger Effect. The (1996),979,35,
Gaslight (1944),1020,35,
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1059,35,
Jeffrey (1995),372,34,
Terminal Velocity (1994),586,34,
Lost Horizon (1937),612,34,
Touch of Evil (1958),653,34,
Kull the Conqueror (1997),680,34,
Boys on the Side (1995),723,34,
Fled (1996),829,34,
Washington Square (1997),882,34,
Dead Man (1995),922,34,
Unforgettable (1996),925,34,
Orlando (1993),961,34,
Mediterraneo (1991),971,34,
Free Willy (1993),78,33,
Body Snatchers (1993),573,33,
Paths of Glory (1957),641,33,
That Darn Cat! (1997),878,33,
Anna Karenina (1997),990,33,
Hackers (1995),1139,33,
Clockers (1995),1267,33,
Transformers: The Movie. The (1986),426,32,
Englishman Who Went Up a Hill. But Came Down a Mountain. The (1995),580,32,
Boomerang (1992),765,32,
Prophecy. The (1995),774,32,
Brassed Off (1996),936,32,
Airheads (1994),940,32,
Eye for an Eye (1996),974,32,
Cats Don't Dance (1997),989,32,
Tie Me Up! Tie Me Down! (1990),1018,32,
Fast. Cheap & Out of Control (1997),1022,32,
Homeward Bound II: Lost in San Francisco (1996),1033,32,
Old Man and the Sea. The (1958),1126,32,
Feeling Minnesota (1996),1132,32,
Night Falls on Manhattan (1997),1226,32,
Operation Dumbo Drop (1995),110,31,
Hard Rain (1998),349,31,
Bio-Dome (1996),368,31,
Flintstones. The (1994),383,31,
Fly Away Home (1996),500,31,
Meet Me in St. Louis (1944),605,31,
Great Race. The (1965),630,31,
Threesome (1994),738,31,
Drop Zone (1994),779,31,
Timecop (1994),797,31,
Program. The (1993),808,31,
Kiss Me. Guido (1997),995,31,
Die xue shuang xiong (Killer. The) (1989),1019,31,
Fathers' Day (1997),1023,31,
Once Were Warriors (1994),1194,31,
FairyTale: A True Story (1997),308,30,
My Own Private Idaho (1991),537,30,
Spellbound (1945),608,30,
Shaggy Dog. The (1959),843,30,
Georgia (1995),950,30,
Escape to Witch Mountain (1975),1133,30,
Barb Wire (1996),1215,30,
Higher Learning (1995),1220,30,
Stephen King's The Langoliers (1995),563,29,
Blown Away (1994),572,29,
Canadian Bacon (1994),719,29,
If Lucy Fell (1996),764,29,
Evening Star. The (1996),1061,29,
High School High (1996),1095,29,
Twelfth Night (1996),1115,29,
Ghosts of Mississippi (1996),1136,29,
Beautiful Thing (1996),1137,29,
Once Upon a Time... When We Were Colored (1995),279,28,
Deceiver (1997),309,28,
Blues Brothers 2000 (1998),362,28,
Beverly Hills Cop III (1994),388,28,
Crossing Guard. The (1995),460,28,
